year,month,1,2,3,4,5,6,7,8,9,10
2019,9,182,12,200,11,27,12,58,11,50,0
2019,10,182,28,343,16,36,35,187,76,562,0
2019,11,182,150,1210,389,201,378,392,111,708,0
2019,12,800,186,1443,457,262,441,498,111,885,0
2020,1,1456,199,1563,555,276,467,551,231,1070,0
2020,2,2013,224,1676,598,302,505,626,271,1347,0
2020,3,2595,246,1731,616,315,527,668,297,1488,0
2020,4,3321,260,1764,633,320,537,675,310,1575,0
2020,5,3615,275,1773,650,339,539,678,328,1665,0
2020,6,5200,287,1794,677,344,540,683,352,1766,0
2020,7,6545,320,1832,696,354,568,735,392,1928,0
2020,8,7174,349,1884,719,363,603,778,432,2122,0
2020,9,8340,402,1961,747,371,640,824,472,2250,0
2020,10,9085,438,2029,776,380,690,865,501,2393,0
2020,11,10914,536,2118,848,396,709,894,555,2538,0
2020,12,12212,601,2134,893,405,723,910,581,2630,0
2021,1,13463,697,2150,965,415,734,930,622,2723,0
2021,2,14818,843,2180,1104,443,766,966,676,2993,0
2021,3,16482,869,2197,1207,455,780,991,706,3079,0
2021,4,18828,906,2221,1239,488,800,1018,746,3210,0
2021,5,20410,940,2240,1317,507,815,1045,776,3323,0
2021,6,21191,969,2318,1327,529,821,1074,825,3451,0
2021,7,22227,1008,2422,1339,558,828,1113,890,3621,0
2021,8,23205,1043,2501,1350,575,842,1162,951,3799,0
2021,9,23435,1121,2578,1410,589,852,1171,960,3847,0
2021,10,23782,1189,2660,1471,616,861,1180,970,3911,0
2021,11,25249,1318,2781,1575,624,881,1207,1011,4074,0
2021,12,26489,1391,2901,1678,655,897,1235,1053,4212,0
2022,1,26595,1519,2931,1682,660,906,1240,1080,4316,0
2022,2,26737,1608,3018,1746,662,919,1255,1108,4435,0
2022,3,27497,1724,3126,1823,664,934,1274,1141,4580,0
2022,4,28309,1825,3226,1873,665,950,1294,1173,4690,0
2022,5,28973,1868,3332,1964,666,966,1321,1218,4805,0
2022,6,29594,1959,3354,2039,668,970,1344,1249,4926,0
2022,7,29658,2009,3551,2065,669,970,1371,1300,5025,0
2022,8,30318,2089,3639,2116,675,1000,1397,1330,5130,0
2022,9,30933,2155,3697,2150,678,1020,1414,1351,5200,0
2022,10,31775,2329,3937,2355,686,1082,1447,1413,5425,0
2022,11,32543,2449,4106,2486,696,1106,1467,1448,5626,0
2022,12,33307,2485,4178,2490,696,1109,1474,1462,5701,0
2023,1,33705,2617,4402,2685,703,1145,1484,1507,5952,0
2023,2,34152,2658,4497,2835,708,1162,1504,1527,6107,0
2023,3,34557,2714,4579,2988,713,1175,1524,1548,6247,0
2023,4,35638,2877,4684,3079,723,1200,1604,1578,6382,0
2023,5,36245,2962,4764,3123,728,1217,1655,1613,6504,0
2023,6,37235,3028,4856,3163,733,1230,1699,1644,6616,0
2023,7,37914,3076,4943,3184,739,1231,1730,1672,6724,0
2023,8,38640,3140,4994,3205,745,1236,1745,1705,6847,0
2023,9,39492,3215,5052,3258,754,1254,1782,1748,6988,0
2023,10,40227,3291,5132,3333,759,1269,1800,1769,7114,0
2023,11,40873,3417,5246,3384,770,1292,1865,1798,7276,0
2023,12,41617,3513,5350,3457,775,1305,1933,1838,7402,292
2024,1,41970,3686,5429,3545,791,1408,2013,1866,7566,292
2024,2,42401,3810,5511,3647,818,1500,2074,1891,7738,376
2024,3,42805,3849,5594,3731,832,1522,2145,1915,7885,376
